,Route ID,Difference
0,135,0 days 00:03:33
1,135,0 days 00:01:40
2,135,0 days 00:02:50
3,135,0 days 00:00:47
4,135,0 days 00:00:12
5,135,0 days 00:00:48
6,135,0 days 00:01:50
7,135,0 days 00:00:05
8,135,0 days 00:00:39
9,135,-1 days +23:59:27
10,135,-1 days +23:59:56
11,135,0 days 00:02:03
12,135,0 days 00:00:22
13,135,0 days 00:00:04
14,135,0 days 00:00:05
15,135,0 days 00:00:06
16,135,0 days 00:00:25
17,135,0 days 00:00:54
18,135,0 days 00:00:04
19,135,0 days 00:00:43
20,135,0 days 00:00:08
21,135,0 days 00:00:02
22,135,0 days 00:01:14
23,135,0 days 00:01:52
24,135,0 days 00:01:58
25,135,0 days 00:02:10
26,135,0 days 00:01:43
27,135,0 days 00:02:27
28,135,0 days 00:00:37
29,135,0 days 00:01:55
30,135,0 days 00:00:52
31,135,0 days 00:00:15
32,135,0 days 00:00:05
33,135,0 days 00:00:06
34,135,0 days 00:00:44
35,135,0 days 00:00:48
36,135,0 days 00:00:24
37,135,0 days 00:01:33
38,135,0 days 00:02:11
39,135,0 days 00:00:44
40,135,0 days 00:01:38
41,135,0 days 00:02:06
42,135,0 days 00:01:21
43,135,0 days 00:00:07
44,135,0 days 00:00:06
45,135,0 days 00:01:03
46,135,0 days 00:00:10
47,135,0 days 00:00:01
48,135,0 days 00:00:05
49,135,0 days 00:00:56
50,135,0 days 00:00:06
51,135,0 days 00:01:38
52,135,0 days 00:01:28
53,135,0 days 00:01:01
54,135,0 days 00:00:02
55,135,0 days 00:00:51
56,135,0 days 00:02:11
57,135,0 days 00:04:30
58,135,0 days 00:02:49
59,135,0 days 00:03:54
60,135,0 days 00:04:55
61,135,0 days 00:03:04
62,135,0 days 00:04:37
63,135,0 days 00:04:00
64,135,0 days 00:00:05
65,135,0 days 00:00:57
66,135,0 days 00:00:05
67,135,0 days 00:00:05
68,135,0 days 00:01:41
69,135,0 days 00:03:00
70,135,0 days 00:01:18
71,135,0 days 00:02:30
72,135,0 days 00:04:03
73,135,0 days 00:00:06
74,135,0 days 00:01:08
75,135,0 days 00:01:12
76,135,0 days 00:00:02
77,135,-1 days +23:59:59
78,135,0 days 00:01:12
79,135,0 days 00:02:04
80,135,0 days 00:00:30
81,135,0 days 00:01:40
82,135,0 days 00:01:02
83,135,0 days 00:01:06
84,135,0 days 00:01:19
85,135,0 days 00:03:38
86,135,0 days 00:02:41
87,135,0 days 00:04:06
88,135,0 days 00:05:11
89,135,0 days 00:03:45
90,135,0 days 00:04:57
91,135,0 days 00:05:15
92,135,0 days 00:06:10
93,135,0 days 00:05:48
94,135,0 days 00:00:05
95,135,0 days 00:01:29
96,135,0 days 00:00:52
97,135,0 days 00:00:48
98,135,-1 days +23:59:31
99,135,0 days 00:00:39
100,135,0 days 00:01:20
101,135,0 days 00:00:06
102,135,0 days 00:01:06
103,135,0 days 00:01:04
104,135,0 days 00:00:32
105,135,0 days 00:00:06
106,135,0 days 00:00:03
107,135,0 days 00:00:23
108,135,0 days 00:00:16
109,135,-1 days +23:59:59
110,135,0 days 00:01:51
111,135,0 days 00:00:27
112,135,0 days 00:01:55
