service_id,date,exception_type
09-173,20250408,1
09-170,20250408,2
01-179,20250409,1
01-170,20250409,2
09-172,20250409,1
09-170,20250409,2
81-179,20250409,1
81-170,20250409,2
09-173,20250411,1
09-170,20250411,2
01-179,20250416,1
01-170,20250416,2
81-179,20250416,1
81-170,20250416,2
09-172,20250418,1
09-170,20250418,2
37-161,20250419,1
37-160,20250419,2
01-179,20250423,1
01-170,20250423,2
81-179,20250423,1
81-170,20250423,2
01-104,20250429,1
01-170,20250429,2
06-100,20250429,1
06-170,20250429,2
09-100,20250429,1
09-170,20250429,2
13-100,20250429,1
13-170,20250429,2
21-100,20250429,1
21-170,20250429,2
25-100,20250429,1
25-170,20250429,2
29-101,20250429,1
29-170,20250429,2
33-100,20250429,1
33-170,20250429,2
37-101,20250429,1
37-170,20250429,2
45-100,20250429,1
45-170,20250429,2
49-100,20250429,1
49-170,20250429,2
53-100,20250429,1
53-170,20250429,2
57-100,20250429,1
57-170,20250429,2
61-100,20250429,1
61-170,20250429,2
65-100,20250429,1
65-170,20250429,2
69-100,20250429,1
69-170,20250429,2
77-100,20250429,1
77-170,20250429,2
81-101,20250429,1
81-170,20250429,2
85-101,20250429,1
85-170,20250429,2
01-105,20250503,1
01-160,20250503,2
06-100,20250503,1
06-160,20250503,2
09-100,20250503,1
09-160,20250503,2
13-100,20250503,1
13-160,20250503,2
21-100,20250503,1
21-160,20250503,2
25-100,20250503,1
25-160,20250503,2
29-100,20250503,1
29-160,20250503,2
33-100,20250503,1
33-160,20250503,2
37-100,20250503,1
37-160,20250503,2
45-100,20250503,1
45-160,20250503,2
49-100,20250503,1
49-160,20250503,2
53-100,20250503,1
53-160,20250503,2
57-100,20250503,1
57-160,20250503,2
61-100,20250503,1
61-160,20250503,2
65-100,20250503,1
65-160,20250503,2
69-100,20250503,1
69-160,20250503,2
77-100,20250503,1
77-160,20250503,2
81-102,20250503,1
81-160,20250503,2
85-101,20250503,1
85-160,20250503,2
01-104,20250505,1
01-170,20250505,2
06-100,20250505,1
06-170,20250505,2
09-100,20250505,1
09-170,20250505,2
13-100,20250505,1
13-170,20250505,2
21-100,20250505,1
21-170,20250505,2
25-100,20250505,1
25-170,20250505,2
29-100,20250505,1
29-170,20250505,2
33-100,20250505,1
33-170,20250505,2
37-100,20250505,1
37-170,20250505,2
45-100,20250505,1
45-170,20250505,2
49-100,20250505,1
49-170,20250505,2
53-100,20250505,1
53-170,20250505,2
57-100,20250505,1
57-170,20250505,2
61-100,20250505,1
61-170,20250505,2
65-100,20250505,1
65-170,20250505,2
69-100,20250505,1
69-170,20250505,2
77-100,20250505,1
77-170,20250505,2
81-100,20250505,1
81-170,20250505,2
85-101,20250505,1
85-170,20250505,2
01-104,20250506,1
01-170,20250506,2
06-100,20250506,1
06-170,20250506,2
09-100,20250506,1
09-170,20250506,2
13-100,20250506,1
13-170,20250506,2
21-100,20250506,1
21-170,20250506,2
25-100,20250506,1
25-170,20250506,2
29-100,20250506,1
29-170,20250506,2
33-100,20250506,1
33-170,20250506,2
37-100,20250506,1
37-170,20250506,2
45-100,20250506,1
45-170,20250506,2
49-100,20250506,1
49-170,20250506,2
53-100,20250506,1
53-170,20250506,2
57-100,20250506,1
57-170,20250506,2
61-100,20250506,1
61-170,20250506,2
65-100,20250506,1
65-170,20250506,2
69-100,20250506,1
69-170,20250506,2
77-100,20250506,1
77-170,20250506,2
81-100,20250506,1
81-170,20250506,2
85-101,20250506,1
85-170,20250506,2
01-179,20250514,1
01-170,20250514,2
81-179,20250514,1
81-170,20250514,2
01-179,20250521,1
01-170,20250521,2
81-179,20250521,1
81-170,20250521,2
01-179,20250528,1
01-170,20250528,2
81-179,20250528,1
81-170,20250528,2
01-179,20250604,1
01-170,20250604,2
81-179,20250604,1
81-170,20250604,2
